freq,resp
0.0,-56.84267187055087
0.078125,-56.87801790858985
0.15625,-56.984624406181496
0.23437499999999997,-57.164234058647466
0.3125,-57.41988188670245
0.390625,-57.756111215934666
0.46874999999999994,-58.17932186686478
0.546875,-58.69831140740064
0.625,-59.32511665059686
0.703125,-60.07634913447113
0.78125,-60.97539117562725
0.8593749999999999,-62.05619069208343
0.9374999999999999,-63.370265770827636
1.015625,-65.00082296094136
1.09375,-67.09488840011807
1.171875,-69.95076770338326
1.25,-74.3388015533682
1.328125,-83.81284215291146
1.40625,-83.9851322218239
1.484375,-74.42076309235824
1.5625,-70.02916680028231
1.640625,-67.18180494005804
1.7187499999999998,-65.09990776111468
1.7968749999999998,-63.48275490341428
1.8749999999999998,-62.18228304984482
1.9531250000000002,-61.114695757902766
2.03125,-60.22805566111732
2.109375,-59.48806093548545
2.1875,-58.87099194360813
2.2656250000000004,-58.359888866486
2.34375,-57.94233640169387
2.421875,-57.60911171099714
2.5,-57.35332604983234
2.5781250000000004,-57.169864291215546
2.65625,-57.05501326871952
2.7343749999999996,-57.00621589019142
2.8125,-57.021913858115255
2.890625,-57.10145732618153
2.96875,-57.24506988199199
3.046875,-57.453864619500614
3.125,-57.729913503894544
3.203125,-58.076379161271056
3.28125,-58.49772724124306
3.359375,-59.00005095392203
3.4374999999999996,-59.591561373004865
3.515625,-60.28333550525268
3.5937499999999996,-61.09048522099947
3.6718750000000004,-62.03404985845754
3.7499999999999996,-63.14420929589833
3.828125,-64.46608598047173
3.9062500000000004,-66.07110679860644
3.984375,-68.08184075222839
4.0625,-70.7356051208413
4.140625,-74.59400411473095
4.21875,-81.68038336141569
4.296875,-93.7204734786087
4.375,-78.26323618405469
4.453125,-73.08614929640555
4.531250000000001,-69.93127008193088
4.609375,-67.68128055260698
4.6875,-65.94971640898609
4.765625,-64.55587173692993
4.84375,-63.40011034711434
4.921875,-62.421277236194314
5.0,-61.57883095248245
5.078125,-60.84425845609471
5.156250000000001,-60.19653108657664
5.234375,-59.61951999502947
5.3125,-59.1004440406006
5.390625,-58.62889939051165
5.468749999999999,-58.19623565213113
5.546875,-57.795148401232325
5.625,-57.41941223262571
5.703124999999999,-57.06370783146217
5.78125,-56.72351307252722
5.859375,-56.39503774815837
5.9375,-56.07518731818259
6.015625000000001,-55.76154478559964
6.09375,-55.45236241516791
6.171875,-55.14655709870535
6.25,-54.84370504387107
6.328124999999999,-54.54403326591888
6.40625,-54.24840712579759
6.484375000000001,-53.958314851399116
6.5625,-53.675851551929945
6.640624999999999,-53.40370666183739
6.71875,-53.145160062658114
6.796875,-52.9040934479861
6.874999999999999,-52.68502505266979
6.953125000000001,-52.49317805051745
7.03125,-52.33459635247752
7.109375,-52.21632721248196
7.187499999999999,-52.14669968351845
7.265625,-52.13574466253359
7.343750000000001,-52.195831964376495
7.421875,-52.3426546419679
7.499999999999999,-52.5967966658017
7.578125,-52.9863373304595
7.65625,-53.55142579022916
7.734375,-54.352923851911456
7.812500000000001,-55.4904063459416
7.890625,-57.14512519106872
7.96875,-59.706094435363106
8.046875,-64.30358250402443
8.125,-79.4838486530471
8.203125000000002,-66.31972595770212
8.28125,-58.66101548813887
8.359375,-54.18420026365407
8.4375,-50.8961313458976
8.515625,-48.239695326002696
8.59375,-45.9784777340017
8.671875,-43.98983084215942
8.75,-42.20186402144404
8.828125,-40.5687899385411
8.90625,-39.0596275770697
8.984375,-37.65242209756488
9.062500000000002,-36.33103485897045
9.140625,-35.08324385865129
9.21875,-33.89956105856095
9.296875,-32.77246476341724
9.375,-31.695883777334846
9.453125,-30.66484038841276
9.53125,-29.67519693900765
9.609375,-28.723471920944025
9.6875,-27.806703916556202
9.765624999999998,-26.92234919859751
9.84375,-26.068203474885095
9.921875,-25.242341257002753
10.0,-24.44306829623248
10.078125,-23.66888384605796
10.15625,-22.91845040981841
10.234375,-22.190569257271683
10.312500000000002,-21.48416043542622
10.390625,-20.79824631549039
10.46875,-20.131937947651195
10.546874999999998,-19.484423664404865
10.625,-18.854959498846128
10.703125,-18.24286107877661
10.78125,-17.647496729173096
10.859375,-17.068281570453273
10.937499999999998,-16.50467244237855
11.015625,-15.956163516448647
11.09375,-15.422282485541153
11.171875000000002,-14.902587240010094
11.25,-14.396662955730243
11.328125,-13.904119532597383
11.406249999999998,-13.424589332480002
11.484375,-12.957725174108404
11.5625,-12.503198549298025
11.640625,-12.060698030559557
11.71875,-11.629927844797729
11.796874999999998,-11.210606591642913
11.875,-10.80246608814652
11.953125,-10.40525032422828
12.031250000000002,-10.018714515486305
12.109375,-9.642624241848806
12.1875,-9.276754662121544
12.265624999999998,-8.92088979581882
12.34375,-8.574821864798874
12.421875,-8.2383506881907
12.5,-7.911283124925925
12.578125,-7.593432558899078
12.656249999999998,-7.284618422390747
12.734375,-6.984665753916638
12.8125,-6.693404787123295
12.890624999999998,-6.410670567750202
12.968750000000002,-6.1363025960253506
13.046875000000002,-5.870144492166364
13.125,-5.612043682926813
13.203125,-5.3618511073633925
13.281249999999998,-5.119420940208629
13.359375,-4.884610331419299
13.4375,-4.657279160636011
13.515624999999998,-4.437289805437613
13.59375,-4.224506922406764
13.671875,-4.018797240143047
13.749999999999998,-3.8200293634683833
13.828125000000002,-3.6280735881681894
13.906250000000002,-3.442801725701406
13.984375,-3.264086937395152
14.0625,-3.091803577714909
14.140624999999998,-2.9258270462710483
14.21875,-2.7660336482865073
14.296875,-2.612300463309907
14.374999999999998,-2.464505222013303
14.453125,-2.3225261909645982
14.53125,-2.186242065311697
14.609375,-2.0555318693587314
14.687500000000002,-1.9302748650544086
14.765625000000002,-1.810350468448859
14.84375,-1.6956381742077717
14.921875,-1.5860174883018907
14.999999999999998,-1.4813678690150258
15.078125,-1.3815686764353323
15.15625,-1.2864991306116849
15.234374999999998,-1.1960382785703314
15.3125,-1.110064970395082
15.390625,-1.0284578445782717
15.46875,-0.9510953228479629
15.546875000000002,-0.8778556146701756
15.625000000000002,-0.8086167316122033
15.703125,-0.7432565117347166
15.78125,-0.6816526541554919
15.859374999999998,-0.6236827638966768
15.9375,-0.5692244070897691
16.015625,-0.5181551765682452
16.09375,-0.4703527678269262
16.171875,-0.4256950652696069
16.25,-0.38406023860262045
16.328125,-0.3453268491620036
16.406250000000004,-0.3093739658860822
16.484375,-0.27608129056455377
16.5625,-0.24532929190939964
16.640625,-0.2169993479041363
16.71875,-0.19097389579560692
16.796875,-0.16713658899929626
16.875,-0.1453724600948768
16.953125,-0.12556808899575317
17.03125,-0.10761177528558737
17.109375,-0.09139371362810145
17.1875,-0.07680617107518269
17.265625000000004,-0.06374366502432205
17.34375,-0.052103140511320506
17.421875,-0.04178414546943794
17.5,-0.03268900254366189
17.578125,-0.0247229760195328
17.65625,-0.01779443241162812
17.734375,-0.011814993258387264
17.8125,-0.006699678688093062
17.890625,-0.0023670403566863354
17.96875,0.0012607175888194174
18.046875,0.004257630796252981
18.125000000000004,0.006693881430160702
18.203125,0.008635720411025264
18.28125,0.010145406132224085
18.359375,0.011281160479739212
18.4375,0.012097142831399971
18.515625,0.012643442553158678
18.59375,0.012966090341971648
18.671875,0.013107088590214176
18.75,0.013104460767999232
18.828125,0.012992319639627653
18.90625,0.012800953951311365
18.984375,0.012556933051790602
19.0625,0.012283228738107872
19.140625,0.011999353457537538
19.21875,0.011721513846206155
19.296875,0.011462778446526076
19.375,0.011233258321324303
19.453125,0.011040299173502379
19.531249999999996,0.010888683487314981
19.609375000000004,0.010780841131662874
19.6875,0.010717066807331487
19.765625,0.010695742679104333
19.84375,0.010713564509857531
19.921875,0.010765769606508222
20.0,0.01084636489631264
20.078125,0.010948353475785749
20.15625,0.011063958011757382
20.234375,0.011184839424406687
20.3125,0.011302309343169892
20.390625,0.011407534897919945
20.46875,0.011491734487374733
20.546875,0.011546363253845872
20.625000000000004,0.011563287086155274
20.703125,0.011534944070201246
20.78125,0.01145449240774631
20.859375,0.01131594392772096
20.9375,0.011114282419797115
21.015625,0.010845566126414727
21.093749999999996,0.01050701383622548
21.171875,0.010097074128735093
21.25,0.009615477426041078
21.328125,0.009063270613289086
21.40625,0.008442834093982424
21.484375000000004,0.007757881250063186
21.5625,0.007013440379236291
21.640625,0.0062158192836307205
21.71875,0.005372552784404533
21.796875,0.004492333536171154
21.874999999999996,0.00358492661348922
21.953124999999996,0.002661068438450048
22.03125,0.0017323507139504766
22.109375,0.0008110901208775203
22.1875,-8.981537092431319e-05
22.265625,-0.0009570426389007737
22.343750000000004,-0.0017770109664916398
22.421875,-0.002536059917178213
22.5,-0.0032206363393692534
22.578125,-0.003817489245326701
22.65625,-0.004313871241613999
22.734374999999996,-0.004697745129990761
22.812499999999996,-0.004957994247595653
22.890625,-0.005084635074484508
