freq,resp
0.0,-39.42763781218885
0.078125,-39.43176320092328
0.15625,-39.444111722913064
0.23437499999999997,-39.46460035571546
0.3125,-39.49309043530662
0.390625,-39.529387237478446
0.46874999999999994,-39.57323943484019
0.546875,-39.62433847336213
0.625,-39.682317926117186
0.703125,-39.74675289622407
0.78125,-39.817159555922565
0.8593749999999999,-39.89299492390227
0.9374999999999999,-39.97365699801747
1.015625,-40.05848537464399
1.09375,-40.14676249819293
1.171875,-40.2377156934331
1.25,-40.330520137778755
1.328125,-40.42430292878447
1.40625,-40.51814839188732
1.484375,-40.611104753036656
1.5625,-40.7021922685894
1.640625,-40.79041285953789
1.7187499999999998,-40.87476123840449
1.7968749999999998,-40.95423744572764
1.8749999999999998,-41.02786063118665
1.9531250000000002,-41.09468382586989
2.03125,-41.15380936248893
2.109375,-41.204404516402626
2.1875,-41.24571687005726
2.2656250000000004,-41.277088854987895
2.34375,-41.29797090621288
2.421875,-41.30793267914794
2.5,-41.30667183173354
2.5781250000000004,-41.29401996330424
2.65625,-41.26994542201827
2.7343749999999996,-41.234552835956826
2.8125,-41.18807937811538
2.890625,-41.13088792980093
2.96875,-41.06345744790458
3.046875,-40.986370958239874
3.125,-40.900301681639334
3.203125,-40.805997847470714
3.28125,-40.70426676019948
3.359375,-40.59595866168232
3.4374999999999996,-40.481950880810025
3.515625,-40.36313269046401
3.5937499999999996,-40.240391207673994
3.6718750000000004,-40.11459858418053
3.7499999999999996,-39.986600648131535
3.828125,-39.85720707863907
3.9062500000000004,-39.72718312703379
3.984375,-39.59724284384946
4.0625,-39.468043729492585
4.140625,-39.34018269864992
4.21875,-39.21419323253635
4.296875,-39.09054358731527
4.375,-38.96963592952448
4.453125,-38.85180627814776
4.531250000000001,-38.73732514627986
4.609375,-38.62639879153812
4.6875,-38.51917100207393
4.765625,-38.41572536314572
4.84375,-38.316087966756726
4.921875,-38.2202305431453
5.0,-38.12807400731239
5.078125,-38.039492425836826
5.156250000000001,-37.954317418540754
5.234375,-37.87234301582676
5.3125,-37.79333099545631
5.390625,-37.717016721995684
5.468749999999999,-37.643115508048254
5.546875,-37.57132950876385
5.625,-37.50135515016525
5.703124999999999,-37.43289107797554
5.78125,-37.36564659749073
5.859375,-37.299350557521194
5.9375,-37.23376061367255
6.015625000000001,-37.16867278964949
6.09375,-37.10393124146117
6.171875,-37.03943812010869
6.25,-36.97516342533595
6.328124999999999,-36.91115474803221
6.40625,-36.84754681343149
6.484375000000001,-36.78457076262484
6.5625,-36.722563147070325
6.640624999999999,-36.661974660410955
6.71875,-36.603378694485365
6.796875,-36.54747988246548
6.874999999999999,-36.495122882449174
6.953125000000001,-36.44730176131595
7.03125,-36.405170464481536
7.109375,-36.370055008016834
7.187499999999999,-36.34346821476072
7.265625,-36.32712805027442
7.343750000000001,-36.32298092048924
7.421875,-36.333231705423536
7.499999999999999,-36.36038287557062
7.578125,-36.40728585158376
7.65625,-36.47720895259243
7.734375,-36.573928040255936
7.812500000000001,-36.701848643207036
7.890625,-36.866172511004706
7.96875,-37.07312819120627
8.046875,-37.33029613422723
8.125,-37.64707734815771
8.203125000000002,-38.03538727261295
8.28125,-38.510716716609494
8.359375,-39.093818612182226
8.4375,-39.81352125134217
8.515625,-40.71170948585562
8.59375,-41.85284769033085
8.671875,-43.34414336758881
8.75,-45.38484197956569
8.828125,-48.41658766082222
8.90625,-53.81161402944707
8.984375,-79.79160687668747
9.062500000000002,-53.86910796962695
9.140625,-47.21936717630272
9.21875,-43.22592917415306
9.296875,-40.29799136988132
9.375,-37.950684205392875
9.453125,-35.97071565725805
9.53125,-34.2451699614981
9.609375,-32.70700605408451
9.6875,-31.313159075268842
9.765624999999998,-30.034323497562134
9.84375,-28.8496562071903
9.921875,-27.743804817097587
10.0,-26.705134747775304
10.078125,-25.724617972268902
10.15625,-24.795107661860726
10.234375,-23.910848381199816
10.312500000000002,-23.067135669116993
10.390625,-22.260073504019662
10.46875,-21.48639774175998
10.546874999999998,-20.743345124968116
10.625,-20.02855446050593
10.703125,-19.33999094414651
10.78125,-18.67588742945764
10.859375,-18.03469829278991
10.937499999999998,-17.415062793315997
11.015625,-16.815775681544174
11.09375,-16.235763405404697
11.171875000000002,-15.674064684849963
11.25,-15.129814528975398
11.328125,-14.602230990299155
11.406249999999998,-14.090604113425304
11.484375,-13.594286656486288
11.5625,-13.112686255012555
11.640625,-12.64525876726999
11.71875,-12.191502593354354
11.796874999999998,-11.750953801540362
11.875,-11.323181927526278
11.953125,-10.90778633747548
12.031250000000002,-10.50439306574624
12.109375,-10.112652054124878
12.1875,-9.732234732141654
12.265624999999998,-9.362831888339922
12.34375,-9.004151790713571
12.421875,-8.655918521328829
12.5,-8.317870495718354
12.578125,-7.989759142221646
12.656249999999998,-7.671347720238275
12.734375,-7.36241025951041
12.8125,-7.062730605178102
12.890624999999998,-6.772101555551178
12.968750000000002,-6.490324081391067
13.046875000000002,-6.217206617057278
13.125,-5.952564415195275
13.203125,-5.696218957766882
13.281249999999998,-5.447997417183109
13.359375,-5.2077321621205686
13.4375,-4.975260303307585
13.515624999999998,-4.7504232751742395
13.59375,-4.533066449786115
13.671875,-4.323038779937753
13.749999999999998,-4.120192468679018
13.828125000000002,-3.92438266289439
13.906250000000002,-3.735467168859378
13.984375,-3.5533061879654513
14.0625,-3.3777620710408
14.140624999999998,-3.208699089902693
14.21875,-3.045983224962555
14.296875,-2.889481967869223
14.374999999999998,-2.7390641383230245
14.453125,-2.594599714324282
14.53125,-2.455959675237291
14.609375,-2.3230158571558883
